40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: Id gId = [Select id from Group where Name = 'Commuter Shuttle'].Id;
Execute Anonymous: system.debug(VehicleNotificationService.GetUserIdsFromGroup(gId));
03:01:24.1 (1840823)|USER_INFO|[EXTERNAL]|005r0000001MDcg|arjun.khatri@sfmta.com.shuttledev|Pacific Standard Time|GMT-07:00
03:01:24.1 (1866078)|EXECUTION_STARTED
03:01:24.1 (1871278)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
03:01:24.1 (2072299)|VARIABLE_SCOPE_BEGIN|[1]|gId|Id|false|false
03:01:24.1 (2218386)|HEAP_ALLOCATE|[72]|Bytes:3
03:01:24.1 (2271909)|HEAP_ALLOCATE|[77]|Bytes:152
03:01:24.1 (2292395)|HEAP_ALLOCATE|[342]|Bytes:408
03:01:24.1 (2314220)|HEAP_ALLOCATE|[355]|Bytes:408
03:01:24.1 (2334373)|HEAP_ALLOCATE|[467]|Bytes:48
03:01:24.1 (2366856)|HEAP_ALLOCATE|[139]|Bytes:6
03:01:24.1 (2393335)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
03:01:24.1 (2504074)|STATEMENT_EXECUTE|[1]
03:01:24.1 (2507195)|STATEMENT_EXECUTE|[1]
03:01:24.1 (2511533)|HEAP_ALLOCATE|[1]|Bytes:52
03:01:24.1 (2527148)|HEAP_ALLOCATE|[1]|Bytes:4
03:01:24.1 (2573877)|HEAP_ALLOCATE|[50]|Bytes:5
03:01:24.1 (2609026)|HEAP_ALLOCATE|[56]|Bytes:5
03:01:24.1 (2620639)|HEAP_ALLOCATE|[64]|Bytes:7
03:01:24.1 (3193240)|SOQL_EXECUTE_BEGIN|[1]|Aggregations:0|SELECT id FROM Group WHERE Name = 'Commuter Shuttle'
03:01:24.1 (5260360)|SOQL_EXECUTE_END|[1]|Rows:1
03:01:24.1 (5284026)|HEAP_ALLOCATE|[1]|Bytes:8
03:01:24.1 (5314302)|HEAP_ALLOCATE|[1]|Bytes:29
03:01:24.1 (5436868)|HEAP_ALLOCATE|[1]|Bytes:8
03:01:24.1 (5450621)|HEAP_ALLOCATE|[1]|Bytes:31
03:01:24.1 (5524371)|HEAP_ALLOCATE|[1]|Bytes:8
03:01:24.1 (5735046)|VARIABLE_ASSIGNMENT|[1]|gId|"00Gt0000000K0CxEAK"
03:01:24.1 (5745548)|STATEMENT_EXECUTE|[2]
03:01:24.1 (5786178)|SYSTEM_MODE_ENTER|false
03:01:24.1 (5812615)|HEAP_ALLOCATE|[2]|Bytes:5
03:01:24.1 (19026180)|HEAP_ALLOCATE|[2]|Bytes:14
03:01:24.1 (19038178)|HEAP_ALLOCATE|[2]|Bytes:9
03:01:24.1 (19054843)|METHOD_ENTRY|[1]|01pr0000000Aenx|VehicleNotificationService.VehicleNotificationService()
03:01:24.1 (19062086)|STATEMENT_EXECUTE|[1]
03:01:24.1 (19066489)|STATEMENT_EXECUTE|[1]
03:01:24.1 (19073966)|HEAP_ALLOCATE|[2]|Bytes:5
03:01:24.1 (19086959)|METHOD_EXIT|[1]|VehicleNotificationService
03:01:24.1 (19113160)|METHOD_ENTRY|[2]|01pr0000000Aenx|VehicleNotificationService.getUserIdsFromGroup(Id)
03:01:24.1 (19163779)|VARIABLE_SCOPE_BEGIN|[55]|groupId|Id|false|false
03:01:24.1 (19229773)|VARIABLE_ASSIGNMENT|[55]|groupId|"00Gt0000000K0CxEAK"
03:01:24.1 (19249248)|HEAP_ALLOCATE|[57]|Bytes:5
03:01:24.1 (19255640)|STATEMENT_EXECUTE|[55]
03:01:24.1 (19257066)|STATEMENT_EXECUTE|[57]
03:01:24.1 (19265921)|HEAP_ALLOCATE|[57]|Bytes:4
03:01:24.1 (19344553)|VARIABLE_SCOPE_BEGIN|[57]|setUserId|Set<Id>|true|false
03:01:24.1 (19395690)|VARIABLE_ASSIGNMENT|[57]|setUserId|[]|0x3f175cf4
03:01:24.1 (19403890)|STATEMENT_EXECUTE|[58]
03:01:24.1 (19409306)|HEAP_ALLOCATE|[58]|Bytes:4
03:01:24.1 (19440605)|VARIABLE_SCOPE_BEGIN|[58]|setGroupId|Set<Id>|true|false
03:01:24.1 (19461047)|VARIABLE_ASSIGNMENT|[58]|setGroupId|[]|0x70d4df26
03:01:24.1 (19467137)|STATEMENT_EXECUTE|[59]
03:01:24.1 (19470925)|HEAP_ALLOCATE|[59]|Bytes:4
03:01:24.1 (19755549)|HEAP_ALLOCATE|[59]|Bytes:4
03:01:24.1 (19793975)|HEAP_ALLOCATE|[59]|Bytes:3
03:01:24.1 (19807513)|VARIABLE_SCOPE_BEGIN|[59]|userType|String|false|false
03:01:24.1 (19822618)|VARIABLE_ASSIGNMENT|[59]|userType|"005"
03:01:24.1 (19830694)|HEAP_ALLOCATE|[61]|Bytes:151
03:01:24.1 (19838243)|HEAP_ALLOCATE|[61]|Bytes:4
03:01:24.1 (19846339)|HEAP_ALLOCATE|[61]|Bytes:7
03:01:24.1 (20372016)|SOQL_EXECUTE_BEGIN|[61]|Aggregations:1|SELECT Id, Type, DeveloperName, RelatedId, (SELECT Id, UserOrGroupId FROM GroupMembers LIMIT 100) FROM Group 
03:01:24.1 (25463722)|SOQL_EXECUTE_END|[61]|Rows:1
03:01:24.1 (25486544)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
03:01:24.1 (25645307)|HEAP_ALLOCATE|[61]|Bytes:49
03:01:24.1 (25656303)|HEAP_ALLOCATE|[61]|Bytes:8
03:01:24.1 (25665198)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
03:01:24.1 (25669766)|STATEMENT_EXECUTE|[7]
03:01:24.1 (25677621)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
03:01:24.1 (25685763)|HEAP_ALLOCATE|[61]|Bytes:28
03:01:24.1 (25702738)|HEAP_ALLOCATE|[61]|Bytes:8
03:01:24.1 (25720038)|HEAP_ALLOCATE|[61]|Bytes:8
03:01:24.1 (25724478)|HEAP_ALLOCATE|[61]|Bytes:8
03:01:24.1 (25747409)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
03:01:24.1 (25795915)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x4adf5691
03:01:24.1 (25818660)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
03:01:24.1 (25853588)|VARIABLE_ASSIGNMENT|[15]|values|[{"Id":"00Gt0000000K0CxEAK","Type":"Regular","DeveloperName":"Commuter_Shuttle","GroupMembers":[{"GroupId":"00Gt0000000K0CxEAK","Id":"011t0000000EPpjAAG","UserOrGroupId":"00Gt0000000K0CvEAK"},{"GroupId":"00Gt0000000K0CxEAK","Id":"011t0000000EPpoAAG","UserOrGroupId":"00Gt0000000lipfEAA"}]}]|0x2641290c
