34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
02:39:07.0 (418321)|USER_INFO|[EXTERNAL]|005r0000001MDcg|arjun.khatri@sfmta.com.shuttledev|Pacific Standard Time|GMT-07:00
02:39:07.0 (493658)|EXECUTION_STARTED
02:39:07.0 (498215)|CODE_UNIT_STARTED|[EXTERNAL]|01pr0000000AexO|VehicleSubmittedNotificationBatchTest.test_CreateBulkVehicles
02:39:07.0 (714515)|HEAP_ALLOCATE|[72]|Bytes:3
02:39:07.0 (765645)|HEAP_ALLOCATE|[77]|Bytes:152
02:39:07.0 (784323)|HEAP_ALLOCATE|[342]|Bytes:408
02:39:07.0 (807443)|HEAP_ALLOCATE|[355]|Bytes:408
02:39:07.0 (829481)|HEAP_ALLOCATE|[467]|Bytes:48
02:39:07.0 (862642)|HEAP_ALLOCATE|[139]|Bytes:6
02:39:07.0 (881913)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
02:39:07.0 (894792)|METHOD_ENTRY|[2]|01pr0000000AexO|VehicleSubmittedNotificationBatchTest.VehicleSubmittedNotificationBatchTest()
02:39:07.0 (902557)|STATEMENT_EXECUTE|[2]
02:39:07.0 (907958)|STATEMENT_EXECUTE|[2]
02:39:07.0 (912967)|METHOD_EXIT|[2]|VehicleSubmittedNotificationBatchTest
02:39:07.0 (959051)|HEAP_ALLOCATE|[50]|Bytes:5
02:39:07.0 (989449)|HEAP_ALLOCATE|[56]|Bytes:5
02:39:07.0 (1000178)|HEAP_ALLOCATE|[64]|Bytes:7
02:39:07.0 (1048864)|STATEMENT_EXECUTE|[5]
02:39:07.0 (1050911)|STATEMENT_EXECUTE|[7]
02:39:07.0 (1078955)|HEAP_ALLOCATE|[7]|Bytes:46
02:39:07.0 (1097434)|METHOD_ENTRY|[36]|01pt0000000Tahz|SObjectBuilder.SObjectBuilder()
02:39:07.0 (1103092)|STATEMENT_EXECUTE|[36]
02:39:07.0 (1106785)|STATEMENT_EXECUTE|[36]
02:39:07.0 (1110738)|METHOD_EXIT|[36]|SObjectBuilder
